chunk,article,law
"Krivični zakonik | Nema krivičnog dela niti kazne bez zakona | Nikome ne može biti izrečena kazna ili druga krivična sankcija za delo koje pre nego što je učinjeno zakonom nije bilo određeno kao krivično delo, niti mu se može izreći kazna ili druga krivična sankcija k oja zakonom nije bila propisana pre nego što je krivično delo učinjeno. ",Član 1  ,Krivični zakonik
Krivični zakonik | Nema kazne bez krivice | Kazna i mere upozorenja mogu se izreći samo učiniocu koji je kriv za učinjeno krivično delo. ,Član 2  ,Krivični zakonik
"Krivični zakonik | Osnov i granice krivičnopravne prinude | Zaštita č oveka i drugih osnovnih društvenih vrednosti predstavlja osnov i granice za određivanje krivičnih dela, propisivanje krivičnih sankcija i njihovu primenu, u meri u kojoj je to nužno za suzbijanje tih dela. ",Član 3  ,Krivični zakonik
"Krivični zakonik | Krivične sankcije i njihova opšta svrha | (1) Krivične sankcije su: kazne, mere upozorenja, mere bezbednosti i vaspitne mere. (2) Opšta svrha propisivanja i izricanja krivičnih sankcija je suzbijanje dela kojima se povređuju ili ugrožavaju vrednosti zaštićene krivičnim zakonodavstvom. (3) Krivič ne sankcije se ne mogu izreći licu koje u vreme kada je delo učinjeno nije navršilo četrnaest godina. Vaspitne mere i druge krivične sankcije mogu se izreći maloletniku pod uslovima propisanim posebnim zakonom. ",Član 4  ,Krivični zakonik
"Krivični zakonik | Vremensko važenje krivičnog zakonodavstva | (1) Na učinioca krivičnog dela primenjuje se zakon koji je važio u vreme izvršenja krivičnog dela. (2) Ako je posle izvršenja krivičnog dela izmenjen zakon, jednom ili više puta, primeniće se zakon koji je najblaži za učinio ca. (3) Na učinioca krivičnog dela koje je predviđeno zakonom sa određenim vremenskim trajanjem primenjuje se taj zakon, bez obzira na to kad mu se sudi, ako tim zakonom nije drukčije određeno. ",Član 5  ,Krivični zakonik
"Krivični zakonik | Važenje krivičnog zakonodavstva na teritoriji Srbije | (1) Krivično zakonodavstvo Re publike Srbije važi za svakog ko na njenoj teritoriji učini krivično delo. (2) Krivično zakonodavstvo Srbije važi i za svakog ko učini krivično delo na domaćem brodu, bez obzira gde se brod nalazi u vreme izvršenja dela. (3) Krivično zakonodavstvo Srbije važi i za svakog ko učini krivično delo u domaćem civilnom vazduhoplovu dok je u letu ili u domaćem vojnom vazduhoplovu, bez obzira gde se vazduhoplov nalazio u vreme izvršenja krivičnog dela. (4) Ako je u slučajevima iz st. 1. do 3. ovog člana u stranoj državi pokrenut ili dovršen krivični postupak, krivično gonjenje u Srbiji preduzeće se samo po odobrenju republičkog javnog tužioca. (5) Krivično gonjenje stranca u slučajevima iz st. 1. do 3. ovog člana može se, pod uslovom uzajamnosti, ustupiti stranoj državi. ",Član 6  ,Krivični zakonik
"Krivični zakonik | Važenje krivičnog zakonodavstva Srbije za učinioce određenih krivičnih dela izvršenih u inostranstvu | Krivično zakonodavstvo Republike Srbije važi za svakog ko u inostranstvu učini krivično delo iz čl. 305. do 316, čl. 318. do 321, krivično delo iz čl. 391. do 393a ovog zakonika ako je izvršeno prema Republici Srbiji ili njenom državljaninu, kao i krivično delo iz člana 241. ovog zakonika ako se falsifikovanje odnosi na domaći novac. ",Član 7  ,Krivični zakonik
"Krivični zakonik | Važenje krivičnog zakonodavstva Srbije za državljanina Srbije koji učini krivično delo u inostranstvu | (1) Krivično zakonodavstvo Srbije važi za državljanina Srbije i kad u inostranstvu učini koje drugo krivično delo, osim krivičnih dela navedenih u članu 7. ovog zakonika, ako se zatekne na teritoriji Srbije ili bude izručen Srbiji. (2) Pod uslovima iz stava 1. ovog člana krivično zakonodavstvo Srbije važi i za učinioc a koji je postao državljanin Srbije pošto je učinio krivično delo. ",Član 8  ,Krivični zakonik
"Krivični zakonik | Važenje krivičnog zakonodavstva Srbije za stranca koji učini krivično delo u inostranstvu | (1) Krivično zakonodavstvo Srbije važi i za stranca koji van teritorije Srbije učini prem a njoj ili njenom državljaninu krivično delo i kad nisu u pitanju krivična dela navedena u članu 7. ovog zakonika, ako se zatekne na teritoriji Srbije ili bude izruč en Srbiji. (2) Krivično zakonodavstvo Srbije važi i za stranca koji prema stranoj državi i li prema strancu učini u inostranstvu krivično delo za koje se po zakonu zemlje u kojoj je učinjeno može izreći kazna zatvora od pet godina ili teža kazna, ako se zatekne na teritoriji Srbije, a ne bude izručen stranoj državi. Ako ovim zakonikom nije drukč ije određeno, sud u takvom slučaju ne može izreći težu kaznu od one koja je propisana zakonom zemlje u kojoj je krivično delo učinjeno. ",Član 9  ,Krivični zakonik
"Krivični zakonik | Posebni uslovi za krivično gonjenje za krivično delo učinjeno u inostranstvu | U slučaju iz čl. 8. i 9. ovo g zakonika krivično gonjenje se neće preduzeti, ako je: 1) učinilac potpuno izdržao kaznu na koju je u inostranstvu osuđen; 2) učinilac u inostranstvu pravnosnažnom presudom oslobođen ili mu je kazna zastarela ili oproštena; 3) prema neuračunljivom učin iocu u inostranstvu izvršena odgovarajuća mera bezbednosti; 4) za krivično delo po stranom zakonu za krivično gonjenje potreban zahtev oštećenog, a takav zahtev nije podnet. ",Član 10  ,Krivični zakonik
