embedding,chunk,article,law
"frozenset({14080, 12161, 23425, 12291, 10116, 0, 10247, 11017, 16394, 19081, 25225, 51725, 19983, 10128, 153, 11290, 13211, 12569, 13853, 14878, 157, 10785, 21028, 10149, 38310, 95655, 170, 13614, 15540, 18101, 83895, 57784, 10295, 33979, 15935, 10688, 10307, 13386, 28364, 10317, 22226, 18772, 12245, 10839, 10329, 43484, 15966, 10206, 38753, 101, 102, 53610, 12138, 10354, 58227, 63986, 12021, 117, 119, 82168, 10237})","Krivični zakonik | Nema krivičnog dela niti kazne bez zakona | Nikome ne može biti izrečena kazna ili druga krivična sankcija za delo koje pre nego što je učinjeno zakonom nije bilo određeno kao krivično delo, niti mu se može izreći kazna ili druga krivična sankcija k oja zakonom nije bila propisana pre nego što je krivično delo učinjeno. ",Član 1  ,Krivični zakonik
"frozenset({0, 14211, 10116, 11396, 11017, 16394, 25225, 51725, 10128, 151, 13853, 17059, 21028, 10149, 170, 10922, 46769, 15540, 10421, 10295, 11575, 33979, 14911, 15935, 28364, 10700, 18772, 10839, 119, 10329, 15966, 38753, 101, 102, 12138, 15088, 10354, 22391, 10237})",Krivični zakonik | Nema kazne bez krivice | Kazna i mere upozorenja mogu se izreći samo učiniocu koji je kriv za učinjeno krivično delo. ,Član 2  ,Krivični zakonik
"frozenset({0, 10114, 10243, 10116, 10247, 11017, 16394, 35339, 10253, 11407, 145, 24852, 19733, 44949, 151, 24214, 52630, 10136, 67227, 16668, 18336, 163, 21028, 10149, 95140, 15911, 39081, 170, 12714, 10999, 96429, 13614, 29482, 31920, 46897, 14642, 12332, 18101, 54327, 48314, 33979, 10307, 10192, 18772, 25941, 47190, 119, 26712, 15966, 23137, 101, 102, 26088, 12138, 96622, 10993, 10354, 63986, 18036, 117, 10358, 58227})","Krivični zakonik | Osnov i granice krivičnopravne prinude | Zaštita č oveka i drugih osnovnih društvenih vrednosti predstavlja osnov i granice za određivanje krivičnih dela, propisivanje krivičnih sankcija i njihovu primenu, u meri u kojoj je to nužno za suzbijanje tih dela. ",Član 3  ,Krivični zakonik
"frozenset({0, 11266, 16394, 10763, 51725, 20495, 10261, 18457, 13853, 10785, 21028, 35365, 46636, 12332, 41005, 10295, 14392, 22076, 14911, 10317, 59474, 10839, 10329, 15966, 101, 102, 113, 114, 117, 119, 122, 123, 124, 131, 25225, 151, 27287, 35481, 67227, 163, 39081, 170, 10922, 11947, 96429, 10415, 46769, 15540, 18101, 33979, 30921, 51916, 13518, 10983, 14080, 11017, 21776, 13614, 35632, 16690, 29495, 11575, 14138, 72508, 77118, 12611, 22859, 22864, 25941, 38753, 13158, 12138, 58227, 43381, 22391, 10112, 12161, 10116, 15749, 14223, 10128, 52630, 26008, 11162, 13211, 12704, 95140, 10149, 10150, 10687, 10698, 14794, 10700, 10192, 14802, 13784, 91107, 10211, 16357, 33259, 10220, 10221, 32750, 63986, 14324, 85497, 10237})","Krivični zakonik | Krivične sankcije i njihova opšta svrha | (1) Krivične sankcije su: kazne, mere upozorenja, mere bezbednosti i vaspitne mere. (2) Opšta svrha propisivanja i izricanja krivičnih sankcija je suzbijanje dela kojima se povređuju ili ugrožavaju vrednosti zaštićene krivičnim zakonodavstvom. (3) Krivič ne sankcije se ne mogu izreći licu koje u vreme kada je delo učinjeno nije navršilo četrnaest godina. Vaspitne mere i druge krivične sankcije mogu se izreći maloletniku pod uslovima propisanim posebnim zakonom. ",Član 4  ,Krivični zakonik
"frozenset({0, 10247, 16394, 20495, 13853, 10785, 21028, 41005, 28721, 10295, 10307, 46158, 10839, 15966, 101, 55397, 102, 113, 114, 10354, 117, 119, 122, 123, 124, 11396, 10375, 25225, 10378, 60556, 14477, 37521, 12436, 11414, 10402, 17059, 163, 170, 18101, 33979, 15547, 40644, 10976, 82168, 14080, 73986, 11017, 26395, 14642, 14138, 72508, 44896, 33129, 10105, 15230, 12161, 10114, 10116, 10128, 10135, 11159, 13211, 10149, 10150, 15788, 11180, 31153, 10678, 57784, 11719, 12245, 11234, 15333, 48108, 12268, 10222, 26094, 11760, 14323, 16381, 12798})","Krivični zakonik | Vremensko važenje krivičnog zakonodavstva | (1) Na učinioca krivičnog dela primenjuje se zakon koji je važio u vreme izvršenja krivičnog dela. (2) Ako je posle izvršenja krivičnog dela izmenjen zakon, jednom ili više puta, primeniće se zakon koji je najblaži za učinio ca. (3) Na učinioca krivičnog dela koje je predviđeno zakonom sa određenim vremenskim trajanjem primenjuje se taj zakon, bez obzira na to kad mu se sudi, ako tim zakonom nije drukčije određeno. ",Član 5  ,Krivični zakonik
"frozenset({0, 11266, 16394, 10763, 20495, 13853, 10785, 10275, 21028, 47141, 10787, 41005, 26671, 75827, 10295, 12346, 36924, 53309, 10307, 13386, 12883, 10836, 10839, 57432, 10330, 15966, 101, 55397, 102, 26218, 113, 114, 10354, 117, 119, 17016, 122, 123, 124, 125, 90749, 126, 39552, 19590, 10375, 25225, 10378, 10380, 151, 27287, 10402, 163, 170, 10922, 10415, 18101, 10421, 11449, 72377, 33979, 10428, 15547, 67779, 57031, 52940, 17100, 33491, 10976, 15077, 39142, 48362, 15088, 82168, 56060, 73986, 16643, 11017, 12555, 15121, 22809, 43308, 57646, 60215, 60731, 72508, 25410, 23874, 64329, 14163, 18772, 12115, 84823, 27487, 38753, 12646, 10111, 10112, 12161, 10625, 10115, 56705, 49541, 10128, 17298, 10135, 10136, 53666, 10149, 10150, 61863, 10154, 11180, 61869, 17863, 10698, 11236, 62443, 13805, 10222, 11760, 10739, 14323, 11259, 12798})","Krivični zakonik | Važenje krivičnog zakonodavstva na teritoriji Srbije | (1) Krivično zakonodavstvo Re publike Srbije važi za svakog ko na njenoj teritoriji učini krivično delo. (2) Krivično zakonodavstvo Srbije važi i za svakog ko učini krivično delo na domaćem brodu, bez obzira gde se brod nalazi u vreme izvršenja dela. (3) Krivično zakonodavstvo Srbije važi i za svakog ko učini krivično delo u domaćem civilnom vazduhoplovu dok je u letu ili u domaćem vojnom vazduhoplovu, bez obzira gde se vazduhoplov nalazio u vreme izvršenja krivičnog dela. (4) Ako je u slučajevima iz st. 1. do 3. ovog člana u stranoj državi pokrenut ili dovršen krivični postupak, krivično gonjenje u Srbiji preduzeće se samo po odobrenju republičkog javnog tužioca. (5) Krivično gonjenje stranca u slučajevima iz st. 1. do 3. ovog člana može se, pod uslovom uzajamnosti, ustupiti stranoj državi. ",Član 6  ,Krivični zakonik
"frozenset({0, 10243, 10247, 16394, 20495, 10261, 19481, 11290, 10275, 21028, 28710, 84021, 53309, 10307, 10839, 57432, 15966, 73827, 101, 102, 10354, 18036, 117, 119, 90749, 11910, 10375, 25225, 10378, 24204, 20109, 11407, 30871, 151, 17059, 163, 57507, 170, 61612, 10421, 18101, 33979, 11978, 11992, 10976, 39142, 48362, 30442, 82168, 73986, 11017, 22799, 13600, 58668, 72508, 49987, 18772, 63833, 33631, 38753, 17257, 10601, 28016, 93042, 10104, 10112, 12161, 10128, 17298, 10132, 52630, 10135, 10136, 10149, 10150, 10154, 32684, 11180, 28598, 17863, 11236, 36329, 10222, 11760, 11259, 12798})","Krivični zakonik | Važenje krivičnog zakonodavstva Srbije za učinioce određenih krivičnih dela izvršenih u inostranstvu | Krivično zakonodavstvo Republike Srbije važi za svakog ko u inostranstvu učini krivično delo iz čl. 305. do 316, čl. 318. do 321, krivično delo iz čl. 391. do 393a ovog zakonika ako je izvršeno prema Republici Srbiji ili njenom državljaninu, kao i krivično delo iz člana 241. ovog zakonika ako se falsifikovanje odnosi na domaći novac. ",Član 7  ,Krivični zakonik
"frozenset({0, 11266, 10243, 16394, 10763, 20495, 10261, 10275, 21028, 84021, 53309, 40530, 10839, 55897, 15966, 101, 102, 113, 10354, 114, 117, 119, 122, 123, 128, 11396, 10375, 25225, 10378, 20109, 14477, 11407, 143, 30871, 151, 27287, 163, 17059, 170, 18101, 38584, 33979, 11978, 39142, 90343, 48362, 82168, 11017, 12555, 13600, 14645, 82742, 25913, 72508, 49987, 12611, 18772, 31579, 38753, 10601, 10104, 27514, 10112, 12161, 10115, 10128, 17298, 52630, 10135, 10136, 13211, 38811, 10149, 11180, 61869, 10220, 10222, 20463, 11760, 10739, 10745, 11259, 12798})","Krivični zakonik | Važenje krivičnog zakonodavstva Srbije za državljanina Srbije koji učini krivično delo u inostranstvu | (1) Krivično zakonodavstvo Srbije važi za državljanina Srbije i kad u inostranstvu učini koje drugo krivično delo, osim krivičnih dela navedenih u članu 7. ovog zakonika, ako se zatekne na teritoriji Srbije ili bude izručen Srbiji. (2) Pod uslovima iz stava 1. ovog člana krivično zakonodavstvo Srbije važi i za učinioc a koji je postao državljanin Srbije pošto je učinio krivično delo. ",Član 8  ,Krivični zakonik
"frozenset({0, 10247, 16394, 51725, 20495, 10261, 19481, 10785, 10275, 21028, 12842, 84021, 62011, 53309, 43070, 88639, 15935, 84545, 10307, 13386, 10317, 11859, 10839, 55897, 10329, 63066, 15966, 24676, 101, 102, 113, 10354, 114, 117, 119, 122, 123, 90749, 128, 11396, 83588, 10375, 25225, 10378, 20109, 14477, 143, 11407, 151, 30871, 10399, 10402, 163, 170, 37547, 20141, 10415, 23731, 18101, 33979, 40644, 11978, 22226, 11992, 39142, 90343, 48362, 12021, 82168, 56060, 14080, 14596, 11017, 12555, 15121, 22809, 13600, 29482, 10237, 16690, 11575, 25913, 72508, 49987, 18772, 38753, 10601, 12138, 10104, 10109, 10111, 10112, 12161, 12674, 10115, 10116, 59271, 66448, 10128, 17298, 10135, 10136, 11159, 11162, 13211, 10147, 10149, 10150, 38310, 11180, 61869, 57784, 33259, 10220, 10222, 20463, 11760, 63986, 10739, 10745, 11259, 16381, 12798})","Krivični zakonik | Važenje krivičnog zakonodavstva Srbije za stranca koji učini krivično delo u inostranstvu | (1) Krivično zakonodavstvo Srbije važi i za stranca koji van teritorije Srbije učini prem a njoj ili njenom državljaninu krivično delo i kad nisu u pitanju krivična dela navedena u članu 7. ovog zakonika, ako se zatekne na teritoriji Srbije ili bude izruč en Srbiji. (2) Krivično zakonodavstvo Srbije važi i za stranca koji prema stranoj državi i li prema strancu učini u inostranstvu krivično delo za koje se po zakonu zemlje u kojoj je učinjeno može izreći kazna zatvora od pet godina ili teža kazna, ako se zatekne na teritoriji Srbije, a ne bude izručen stranoj državi. Ako ovim zakonikom nije drukč ije određeno, sud u takvom slučaju ne može izreći težu kaznu od one koja je propisana zakonom zemlje u kojoj je krivično delo učinjeno. ",Član 9  ,Krivični zakonik
"frozenset({0, 11266, 34311, 16394, 10763, 10261, 86044, 13853, 10785, 21028, 35365, 14381, 84021, 62011, 15935, 12863, 10305, 10818, 10307, 10839, 10329, 63066, 10330, 13913, 15966, 10335, 24163, 16996, 101, 102, 36460, 12908, 10354, 114, 117, 119, 122, 123, 12412, 124, 125, 129, 130, 131, 132, 25225, 20109, 11919, 143, 149, 27287, 151, 13468, 10402, 163, 170, 10415, 33979, 10434, 11976, 30921, 22229, 11992, 56060, 14080, 73986, 11017, 58129, 24852, 13080, 28447, 13600, 44319, 42786, 23338, 29998, 39218, 60731, 49987, 47429, 20300, 18772, 25941, 22872, 33631, 27487, 38753, 12138, 41834, 43381, 10104, 11128, 12161, 10115, 10116, 59271, 30599, 13704, 74635, 85388, 10128, 10132, 10135, 10136, 24473, 53666, 10149, 10150, 91585, 10698, 12245, 13784, 10206, 55276, 14323, 10237, 12798})","Krivični zakonik | Posebni uslovi za krivično gonjenje za krivično delo učinjeno u inostranstvu | U slučaju iz čl. 8. i 9. ovo g zakonika krivično gonjenje se neće preduzeti, ako je: 1) učinilac potpuno izdržao kaznu na koju je u inostranstvu osuđen; 2) učinilac u inostranstvu pravnosnažnom presudom oslobođen ili mu je kazna zastarela ili oproštena; 3) prema neuračunljivom učin iocu u inostranstvu izvršena odgovarajuća mera bezbednosti; 4) za krivično delo po stranom zakonu za krivično gonjenje potreban zahtev oštećenog, a takav zahtev nije podnet. ",Član 10  ,Krivični zakonik
